project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
GitHub - metrodroid/metrodroid: Read data from public transit cards using your NFC Android phone! (iOS 13 and PC/SC support coming soon),272,Kotlin,ios,4511,757,6,5,10,1,0,2015
GitHub - MetaMask/metamask-mobile: Mobile web browser providing access to websites that use the Ethereum blockchain,656,JavaScript,android,1454,420,7,8,16,2,1,2018
GitHub - MaximeAeva/Poco: Tiny app to follow your spendings habits,0,Kotlin,android,8,7,1,1,0,1,0,2021
GitHub - maxi-booking/d8base-frontend: The PWA and mobile applications for the d8base project,6,TypeScript,ios,2030,824,7,5,5,1,0,2019
GitHub - maxi-booking/d8base-frontend: The PWA and mobile applications for the d8base project,6,TypeScript,android,2036,824,7,5,5,1,0,2019
GitHub - mattjcamp/TastingNotes-Core-Data-Version: Tasting Notes Source Code,1,Objective-C,ios,105,46,5,1,0,1,0,2013
GitHub - manojmahapatra/MKMovingBlockAnimation: iOS app using cocos2d animation to render images like moving blocks.,60,Markdown,ios,5,2,1,1,0,1,0,2012
GitHub - manikantaraavi/manikantaraavi: 👀,0,Markdown,android,4309,4265,391,2,0,1,0,2021
GitHub - malengatiger/new-monitor-repo: Testbed for HDA - source for MongoDB based backend and a suite of mobile apps (Android & iOS),3,Dart,ios,107,289,2,2,1,1,0,2019
GitHub - malengatiger/dancer-repo: Dancer - source code,1,Dart,ios,302,12171,2,4,3,1,0,2019
GitHub - makevoid/rubymotion-bug-report-1: Bug report sample repository for the rubymotion project - bug status: fixed - year 2012,1,Ruby,android,2,1,1,1,0,1,0,2012
GitHub - makevoid/rubymotion-bug-report-1: Bug report sample repository for the rubymotion project - bug status: fixed - year 2012,1,Ruby,ios,2,1,1,1,0,1,0,2012
GitHub - madalin-dogaru/balaurul: Offensive tooling....TBR,0,Markdown,ios,12,9,4,1,0,1,0,2021
GitHub - machiav3lli/oandbackupx: backup manager for android,897,Kotlin,android,2652,350,8,7,15,1,0,2019
GitHub - LuizCorrea-Dev/ListConversationCompose: projeto replicado do pathways do Developer.android com estudo de Jetpack-Compose,0,Kotlin,android,2,1,1,1,0,1,0,2021
GitHub - LSPosed/MagiskOnWSA: Integrate Magisk root and Google Apps (OpenGApps) into WSA (Windows Subsystem for Android),2200,Markdown,android,63,48,6,4,5,2,2,2021
GitHub - lposidon/android.SlabLauncher: A weird launcher inspired in windows phone's ui,3,Kotlin,android,34,14,2,2,0,1,0,2021
"GitHub - Lider123/mobile_desiregallery: Gallery app with db, web, etc. for Android",0,Kotlin,android,244,64,5,3,1,1,0,2019
GitHub - lefthanderomg/CryptoApp: Mobile client for coinmarketcap.com,0,Kotlin,android,37,64,2,1,0,1,0,2019
"GitHub - LagradOst/CloudStream-3: Android app for streaming and downloading Movies, TV-Series and Anime.",435,Kotlin,android,610,88,5,5,12,1,0,2021
GitHub - kyorohiro/KyoroStressV2: deprecated: android test tool. this tool create situation low memory killer is run,10,Java,android,22,9,1,1,0,1,0,2013
GitHub - kyorohiro/KyoroStressV1: deprecated: android test tool. this tool create situation low memory killer is run,3,PHP,android,2,1,1,1,0,1,0,2013
